stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
39.780202,11016,-86.232012,11016,,,,10th St - 4400 W,0,
39.771353,51108,-86.135482,51108,,,,New York St & Oriental St,0,
39.771385,51109,-86.133622,51109,,,,New York St & Arsenal Ave,0,
39.780283,11017,-86.227081,11017,,,,10th St & Mc Clure St,0,
39.77997,11010,-86.247705,11010,,,,10th St & Allison Ave,0,
39.844066,52802,-86.241799,52802,,,,Georgetown Rd & Brock St,0,
39.793022,50320,-86.187423,50320,,,,Harding St & 19th St,0,
39.803385,50451,-86.120979,50451,,,,25th St & Keystone Ave,0,
39.841343,11623,-86.145563,11623,,,,College Ave & 48th St,0,
39.912472,52036,-86.14414,52036,,,,86th St & Cedar Pl Dr,0,
39.843785,11621,-86.145811,11621,,,,College Ave & 50th St,0,
